login,graph,degree_in,degree_out,betweenness,closeness,pagerank
NeoWang9999,G1,0.000476,0.0,0.0,0.0,0.000289
NgoQuocViet2001,G1,0.000953,0.0,0.0,0.0,0.000295
Nicered,G1,0.001906,0.0,0.0,0.0,0.001192
NicholasMeacoe,G1,0.0,0.000476,0.0,0.5,0.000288
NikiforovAll,G1,0.000953,0.0,0.0,0.0,0.000534
Nimraakram22,G1,0.000953,0.000953,1.1e-05,0.5,0.000295
NirmalmaheshSubramani,G1,0.0,0.000476,0.0,0.101266,0.000288
Noor-ul-ain001,G1,0.000953,0.0,0.0,0.0,0.000295
Norfeldt,G1,0.0,0.000476,0.0,0.5,0.000288
NunoMiguelVeloso,G1,0.0,0.000476,0.0,0.16,0.000288
OR13,G1,0.0,0.0,0.0,0.0,0.000288
ObsisMc,G1,0.0,0.000476,0.0,0.5,0.000288
OguzDastan,G1,0.0,0.000476,0.0,0.5,0.000288
OllisGit,G1,0.0,0.0,0.0,0.0,0.000288
One-TheOnly,G1,0.001429,0.0,0.0,0.0,0.000344
OneSheep123,G1,0.001906,0.0,0.0,0.0,0.001036
OptimusPi,G1,0.0,0.000476,0.0,0.5,0.000288
OrenMe,G1,0.0,0.000476,0.0,0.160343,0.000288
Ovid,G1,0.002859,0.001906,4.4e-05,0.222222,0.001032
PG408,G1,0.0,0.000953,0.0,0.25,0.000288
PIMBA,G1,0.0,0.000476,0.0,0.3,0.000288
PMCaz,G1,0.0,0.000476,0.0,0.5,0.000288
Page-Carbajal,G1,0.001429,0.0,0.0,0.0,0.00079
Paimon2806,G1,0.002859,0.002382,0.000104,0.106122,0.001533
PaoloC68,G1,0.0,0.000476,0.0,0.5,0.000288
PascalThuet,G1,0.003335,0.000476,0.000866,0.106047,0.001213
PatrickHeneise,G1,0.000476,0.0,0.0,0.0,0.000289
Pavel-tabnine,G1,0.000953,0.0,0.0,0.0,0.000295
Pazzilivo,G1,0.0,0.000476,0.0,0.5,0.000288
PeteHalsted,G1,0.001429,0.0,0.0,0.0,0.00055
PeterDaumQS,G1,0.001429,0.0,0.0,0.0,0.000486
Pewejekubam,G1,0.0,0.000476,0.0,0.5,0.000288
PieBru,G1,0.000476,0.000476,0.0,0.5,0.000289
PitamberTiwari,G1,0.000953,0.0,0.0,0.0,0.000543
Poggen,G1,0.0,0.000476,0.0,0.5,0.000288
Pranav01211,G1,0.0,0.0,0.0,0.0,0.000288
ProgrammerPlus1998,G1,0.0,0.000476,0.0,0.5,0.000288
PrometheusAtlas,G1,0.0,0.000476,0.0,0.5,0.000288
PsiACE,G1,0.0,0.000476,0.0,0.5,0.000288
QC2168,G1,0.000476,0.000476,2e-06,0.5,0.000293
QikeLab,G1,0.0,0.000476,0.0,0.5,0.000288
Quratulain-bilal,G1,0.003335,0.001429,2.6e-05,0.222222,0.001045
RA-Rob,G1,0.0,0.000476,0.0,0.5,0.000288
RB-Lab,G1,0.0,0.000476,0.0,0.5,0.000288
RT-Rakesh,G1,0.0,0.000476,0.0,0.5,0.000288
Rabithua,G1,0.0,0.000476,0.0,0.5,0.000288
RajaPremSai,G1,0.000953,0.0,0.0,0.0,0.000534
RakeshArya5,G1,0.003335,0.0,0.0,0.0,0.001527
Rannir,G1,0.000476,0.0,0.0,0.0,0.000289
Ray0907,G1,0.001429,0.0,0.0,0.0,0.000537
RbBtSn0w,G1,0.001906,0.001429,0.000436,0.160444,0.000785
RchrdHndrcks,G1,0.000953,0.0,0.0,0.0,0.000295
ReddragonLR,G1,0.0,0.000476,0.0,0.5,0.000288
ReneSchumacher,G1,0.001906,0.0,0.0,0.0,0.001028
Rep0se,G1,0.0,0.000476,0.0,0.16,0.000288
Reynard-HanSkin,G1,0.0,0.000476,0.0,0.5,0.000288
RoboCreator85,G1,0.000476,0.0,0.0,0.0,0.000289
Roboterjiang,G1,0.000953,0.0,0.0,0.0,0.000538
Rodaddy-Bullish,G1,0.000953,0.0,0.0,0.0,0.000545
RogerBestMsft,G1,0.000476,0.0,0.0,0.0,0.000293
Rohan-1920,G1,0.000953,0.000953,0.0,0.170732,0.000295
RotRot-pi,G1,0.004288,0.0,0.0,0.0,0.00208
Roy-Gal-Git,G1,0.0,0.000476,0.0,0.5,0.000288
RoyceLeonD,G1,0.000953,0.002382,5.5e-05,0.107143,0.000303
Rubiss,G1,0.003335,0.0,0.0,0.0,0.001308
RunOrVeith,G1,0.000953,0.0,0.0,0.0,0.000448
S2thend,G1,0.001906,0.0,0.0,0.0,0.001625
SARAMALI15792,G1,0.000953,0.0,0.0,0.0,0.000295
SHSharkar,G1,0.0,0.0,0.0,0.0,0.000288
SLOWRAINMDML,G1,0.0,0.0,0.0,0.0,0.000288
STRRL,G1,0.001429,0.0,0.0,0.0,0.000548
Saco93,G1,0.0,0.000476,0.0,0.5,0.000288
Satcomx00-x00,G1,0.0,0.0,0.0,0.0,0.000288
Scoheart,G1,0.004288,0.0,0.0,0.0,0.001909
Seafoodsz,G1,0.0,0.000476,0.0,0.5,0.000288
SeanAiGo,G1,0.000476,0.0,0.0,0.0,0.000293
SeanPtest,G1,0.0,0.000476,0.0,0.230769,0.000288
Selenion,G1,0.000953,0.000476,1e-06,0.5,0.000885
Selfeer,G1,0.000476,0.0,0.0,0.0,0.000293
Sertxito,G1,0.001429,0.0,0.0,0.0,0.000296
Shakeshev,G1,0.0,0.000476,0.0,0.5,0.000288
Shankhara,G1,0.000476,0.0,0.0,0.0,0.000289
ShaunaGordon,G1,0.0,0.000476,0.0,0.5,0.000288
Shehab-Muhammad,G1,0.0,0.000476,0.0,0.5,0.000288
SherifMEldeeb,G1,0.0,0.000476,0.0,0.5,0.000288
ShivamGoyal03,G1,0.0,0.0,0.0,0.0,0.000288
ShogoMiyashita,G1,0.0,0.0,0.0,0.0,0.000288
SiaoZeng,G1,0.000476,0.0,0.0,0.0,0.0003
Sidatii,G1,0.000476,0.0,0.0,0.0,0.0003
SilenceZheng66,G1,0.0,0.000476,0.0,0.5,0.000288
Silthus,G1,0.001429,0.000476,2e-06,0.5,0.000318
SirunGameDev,G1,0.000476,0.001429,0.0,0.5,0.000289
SlenderShield,G1,0.001429,0.0,0.0,0.0,0.000783
SmolSoftBoi,G1,0.0,0.003335,0.0,0.11991,0.000288
Son-Dam,G1,0.000953,0.0,0.0,0.0,0.000663
SoniaChoo,G1,0.0,0.000476,0.0,0.5,0.000288
Spietato86,G1,0.0,0.0,0.0,0.0,0.000288
Staok,G1,0.0,0.000476,0.0,0.5,0.000288
StdLogicTrig,G1,0.000476,0.0,0.0,0.0,0.0003
SteFletcher,G1,0.001429,0.0,0.0,0.0,0.000783
SteeZyT33,G1,0.000476,0.0,0.0,0.0,0.000293
SteveGrosbois,G1,0.0,0.000476,0.0,0.5,0.000288
